Código;Espacialidades;Indice_de_Gini_2010;pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados 2010;IDHM Renda 2010;IDHM Educação 2010;Taxa de envelhecimento 2010;extremamente pobres 2010
76;Brasil;0.6;6.12;0.739;0.637;7.36;6.62
2400109;Acari;0.49;2.06;0.633;0.634;9.88;5.18
2400208;Açu;0.53;10.49;0.641;0.568;6.99;7.68
2400307;Afonso Bezerra;0.53;18.03;0.56;0.502;9.22;21.79
2400406;Água Nova;0.44;3.11;0.527;0.572;7.65;17.77
2400505;Alexandria;0.53;10.68;0.581;0.491;11.07;21.46
2400604;Almino Afonso;0.49;20.07;0.578;0.568;9.22;17.02
2400703;Alto do Rodrigues;0.47;3.79;0.647;0.585;6.32;7.74
2400802;Angicos;0.51;10.91;0.606;0.53;9.66;11.04
2400901;Antônio Martins;0.51;21.88;0.554;0.458;9.67;25.46
2401008;Apodi;0.55;10.18;0.611;0.571;8.1;13.98
2401107;Areia Branca;0.48;7.72;0.647;0.621;7.94;6.17
2401206;Arês;0.53;9.2;0.587;0.523;7.13;16.86
2401305;Augusto Severo;0.68;27.06;0.624;0.495;9.48;23.56
2401404;Baía Formosa;0.47;2.47;0.59;0.534;6.12;11.09
2401453;Baraúna;0.42;20.92;0.562;0.446;5.52;12.08
2401503;Barcelona;0.5;19.66;0.564;0.442;11.87;20.03
2401602;Bento Fernandes;0.47;30.26;0.542;0.494;7.9;22.61
2401651;Bodó;0.52;19.04;0.57;0.565;7.84;23.42
2401701;Bom Jesus;0.54;16.68;0.583;0.46;9.3;20.26
2401800;Brejinho;0.49;9.32;0.585;0.492;8.46;11.95
2401859;Caiçara do Norte;0.53;9.86;0.572;0.454;7.23;22.32
2401909;Caiçara do Rio do Vento;0.49;12.41;0.553;0.499;8.95;23.06
2402006;Caicó;0.56;1.75;0.703;0.619;8.82;3.69
2402105;Campo Redondo;0.56;35.01;0.554;0.584;11.02;28.19
2402204;Canguaretama;0.49;17.39;0.557;0.486;6.21;18.11
2402303;Caraúbas;0.54;23.35;0.594;0.556;9.89;20.91
2402402;Carnaúba dos Dantas;0.41;10.97;0.624;0.577;8.71;4.55
2402501;Carnaubais;0.52;28.7;0.583;0.476;7.64;16.41
2402600;Ceará Mirim;0.51;9.69;0.599;0.505;6.96;12.12
2402709;Cerro Corá;0.54;31.01;0.573;0.518;9.89;25.88
2402808;Coronel Ezequiel;0.55;37.7;0.545;0.476;10.58;32.31
2402907;Coronel João Pessoa;0.5;8.18;0.549;0.471;9.24;23.05
2403004;Cruzeta;0.42;2.54;0.602;0.621;10.28;7.41
2403103;Currais Novos;0.58;5.49;0.673;0.617;9.59;7.7
2403202;Doutor Severiano;0.49;21.51;0.567;0.566;8.93;23.33
2403301;Encanto;0.47;23.8;0.589;0.536;9.83;13.74
2403400;Equador;0.5;12.42;0.578;0.546;9;14.93
2403509;Espírito Santo;0.54;15.88;0.549;0.423;9.14;24.76
2403608;Extremoz;0.54;7.35;0.64;0.555;6.32;9.19
2403707;Felipe Guerra;0.48;23.18;0.582;0.575;9.75;15.92
2403756;Fernando Pedroza;0.55;19.44;0.565;0.519;10.2;25.87
2403806;Florânia;0.49;13;0.611;0.56;10.24;14.24
2403905;Francisco Dantas;0.5;21.89;0.582;0.523;10.26;18.26
2404002;Frutuoso Gomes;0.47;9.95;0.565;0.512;10.3;18.06
2404101;Galinhos;0.57;29.51;0.578;0.429;5.93;21.02
2404200;Goianinha;0.55;4.18;0.619;0.537;6.11;14.03
2404309;Governador Dix Sept Rosado;0.49;22.37;0.564;0.485;8.19;22.19
2404408;Grossos;0.49;11.59;0.633;0.585;7.58;8.2
2404507;Guamaré;0.51;32.09;0.632;0.505;5.38;8.72
2404606;Ielmo Marinho;0.51;42.52;0.521;0.418;7.37;26.37
2404705;Ipanguaçu;0.48;8.4;0.568;0.518;6.5;15.18
2404804;Ipueira;0.4;5.11;0.627;0.633;11.17;7.79
2404853;Itajá;0.42;4.32;0.586;0.539;5.35;8.5
2404903;Itaú;0.48;11.02;0.588;0.542;8.95;13.71
2405009;Jaçanã;0.48;46.91;0.559;0.509;10.98;21.18
2405108;Jandaíra;0.53;34.99;0.561;0.462;7.93;22.77
2405207;Janduís;0.47;13.82;0.567;0.529;10.36;14.19
2405306;Januário Cicco;0.53;31.19;0.511;0.481;8.8;32.12
2405405;Japi;0.51;26.79;0.528;0.48;8.64;28.19
2405504;Jardim de Angicos;0.53;56.25;0.557;0.437;10.28;24.47
2405603;Jardim de Piranhas;0.42;5.71;0.59;0.469;8.28;9.16
2405702;Jardim do Seridó;0.5;4.28;0.647;0.584;11.81;5.56
2405801;João Câmara;0.56;22.19;0.6;0.484;7.77;15.56
2405900;João Dias;0.55;17.94;0.495;0.39;9.69;41.36
2406007;José da Penha;0.47;4.66;0.583;0.489;12.85;16.28
2406106;Jucurutu;0.46;7.47;0.583;0.492;10.06;14.88
2406155;Jundiá;0.44;19.09;0.552;0.492;10.11;15.21
2406205;Lagoa D Anta;0.54;17.11;0.58;0.507;8.01;18.95
2406304;Lagoa de Pedras;0.52;25.57;0.529;0.436;8.9;28.71
2406403;Lagoa de Velhos;0.42;12.3;0.566;0.458;9.97;13.01
2406502;Lagoa Nova;0.5;14.22;0.542;0.483;7.86;24.91
2406601;Lagoa Salgada;0.54;17.35;0.551;0.464;8.2;25.72
2406700;Lajes;0.49;21.29;0.578;0.557;9.85;14.48
2406809;Lajes Pintadas;0.45;32.8;0.559;0.568;10.02;16.75
2406908;Lucrécia;0.62;3.94;0.624;0.551;9.36;20.04
2407005;Luís Gomes;0.55;16.39;0.545;0.531;9.2;26.91
2407104;Macaíba;0.5;15.19;0.613;0.545;6.76;8.6
2407203;Macau;0.5;6.11;0.65;0.572;7.86;7.58
2407252;Major Sales;0.51;1.69;0.573;0.529;9.93;18.39
2407302;Marcelino Vieira;0.52;8.87;0.571;0.51;9.74;23.94
2407401;Martins;0.49;21.06;0.58;0.538;11.02;19.29
2407500;Maxaranguape;0.52;7.09;0.582;0.506;6.18;13.59
2407609;Messias Targino;0.44;26.47;0.608;0.565;7.78;5.63
2407708;Montanhas;0.53;12.67;0.553;0.447;9.73;26
2407807;Monte Alegre;0.52;9.08;0.578;0.507;8.03;15.17
2407906;Monte das Gameleiras;0.48;30.47;0.56;0.509;8.76;17.47
2408003;Mossoró;0.52;4.16;0.694;0.663;6.33;3.72
2408102;Natal;0.61;0.98;0.768;0.694;7.02;2.92
2408201;Nísia Floresta;0.53;8.47;0.601;0.518;6.21;14.57
2408300;Nova Cruz;0.52;20.42;0.589;0.537;8.82;18.69
2408409;Olho D Água do Borges;0.48;27.06;0.577;0.482;11.97;16.7
2408508;Ouro Branco;0.43;4.2;0.61;0.558;11.79;6.7
2408607;Paraná;0.49;6.03;0.532;0.496;10.22;26.74
2408706;Paraú;0.46;25.31;0.582;0.522;10.6;13.79
2408805;Parazinho;0.52;36.06;0.543;0.424;8.19;23.2
2408904;Parelhas;0.45;4.15;0.625;0.617;9.65;5.72
2403251;Parnamirim;0.55;0.73;0.75;0.726;4.67;2.68
2409100;Passa E Fica;0.51;15.25;0.565;0.516;9.68;19.59
2409209;Passagem;0.41;28.41;0.547;0.501;9.33;11.88
2409308;Patu;0.52;25.02;0.599;0.513;9.57;14.62
2409407;Pau dos Ferros;0.54;1.65;0.666;0.584;8.49;6.13
2409506;Pedra Grande;0.48;45.08;0.526;0.43;6.59;24.72
2409605;Pedra Preta;0.56;51.83;0.53;0.435;8.69;28.7
2409704;Pedro Avelino;0.52;25.25;0.577;0.435;10.29;17.93
2409803;Pedro Velho;0.51;14.72;0.562;0.442;9.08;19.74
2409902;Pendências;0.55;3.17;0.633;0.526;8.22;10.67
2410009;Pilões;0.47;4.27;0.566;0.527;9.7;18.18
2410108;Poço Branco;0.56;21.7;0.562;0.471;7.38;24.91
2410207;Portalegre;0.52;35.11;0.581;0.547;10.64;21.33
2410256;Porto do Mangue;0.55;40.29;0.558;0.504;5.87;24.12
2410306;Presidente Juscelino;0.56;15.81;0.552;0.453;7.76;28.21
2410405;Pureza;0.53;23.02;0.516;0.456;7.74;29.88
2410504;Rafael Fernandes;0.45;2.62;0.588;0.518;10.14;10.58
2410603;Rafael Godeiro;0.49;34.88;0.583;0.607;10.9;16.74
2410702;Riacho da Cruz;0.47;14.16;0.545;0.487;9.61;19.81
2410801;Riacho de Santana;0.5;3.68;0.545;0.489;11.81;27.17
2410900;Riachuelo;0.54;12.72;0.561;0.481;8.45;21.63
2408953;Rio do Fogo;0.52;4.34;0.546;0.457;6.31;23.47
2411007;Rodolfo Fernandes;0.46;9.02;0.561;0.519;9.03;16.45
2411106;Ruy Barbosa;0.51;39.2;0.548;0.517;9.85;24.09
2411205;Santa Cruz;0.52;9.9;0.597;0.564;8.27;15.6
2409332;Santa Maria;0.45;38.57;0.554;0.477;8.19;15.45
2411403;Santana do Matos;0.55;17.29;0.559;0.482;10.62;27.13
2411429;Santana do Seridó;0.41;5.29;0.595;0.58;9.74;8.16
2411502;Santo Antônio;0.57;20.88;0.595;0.512;8.98;20.39
2411601;São Bento do Norte;0.54;13.32;0.541;0.415;8.24;23.11
2411700;São Bento do Trairí;0.49;12.59;0.526;0.525;8.71;24.21
2411809;São Fernando;0.44;15.6;0.591;0.508;9.35;11.41
2411908;São Francisco do Oeste;0.41;9.53;0.581;0.547;8.7;11.43
2412005;São Gonçalo do Amarante;0.44;5.01;0.619;0.564;5.28;6.05
2412104;São João do Sabugi;0.47;11.75;0.62;0.581;12.04;6.19
2412203;São José de Mipibu;0.55;15.34;0.599;0.508;7.23;17.32
2412302;São José do Campestre;0.5;12.04;0.564;0.522;9.29;21.83
2412401;São José do Seridó;0.43;2.61;0.634;0.647;8.34;4.88
2412500;São Miguel;0.53;18.57;0.574;0.518;9.32;19.87
2412559;São Miguel do Gostoso;0.51;24.42;0.558;0.468;6.76;21.71
2412609;São Paulo do Potengi;0.48;16.61;0.584;0.555;9.52;15.32
2412708;São Pedro;0.52;37.17;0.574;0.449;10.25;18.48
2412807;São Rafael;0.52;10.82;0.588;0.493;11.75;17.98
2412906;São Tomé;0.49;34.01;0.565;0.461;11.67;20.2
2413003;São Vicente;0.52;6.27;0.606;0.556;10.45;14.02
2413102;Senador Elói de Souza;0.5;20.16;0.523;0.504;8.73;27.17
2413201;Senador Georgino Avelino;0.43;17.97;0.543;0.455;6.4;11.63
2413300;Serra de São Bento;0.53;32.29;0.551;0.482;9.89;26.18
2413359;Serra do Mel;0.5;44.92;0.574;0.521;6.79;16.04
2413409;Serra Negra do Norte;0.42;8.31;0.578;0.468;8.83;10.43
2413508;Serrinha;0.52;43.05;0.547;0.502;9.42;27.68
2413557;Serrinha dos Pintos;0.5;6.53;0.555;0.492;10.62;23.75
2413607;Severiano Melo;0.52;17.21;0.579;0.522;9.04;21
2413706;Sítio Novo;0.46;31.61;0.528;0.491;9.56;22.85
2413805;Taboleiro Grande;0.48;31.48;0.57;0.507;7.42;15.6
2413904;Taipu;0.45;32.17;0.544;0.435;7.65;16.2
2414001;Tangará;0.52;7.37;0.566;0.516;8.02;20.78
2414100;Tenente Ananias;0.46;12.6;0.57;0.468;9.43;16.07
2414159;Tenente Laurentino Cruz;0.47;17.9;0.559;0.586;6.68;17.34
2411056;Tibau;0.55;13.02;0.627;0.53;6.67;10.19
2414209;Tibau do Sul;0.6;6.58;0.672;0.504;6.1;5.76
2414308;Timbaúba dos Batistas;0.36;;0.614;0.591;11.63;3.21
2414407;Touros;0.52;20.05;0.562;0.466;6.84;21.48
2414456;Triunfo Potiguar;0.48;19.76;0.579;0.516;7.57;15.89
2414506;Umarizal;0.51;16.57;0.59;0.506;9.85;16.21
2414605;Upanema;0.54;26.63;0.542;0.516;7.89;31.82
2414704;Várzea;0.48;9.25;0.577;0.552;11.12;12.47
2414753;Venha Ver;0.5;18.49;0.501;0.473;6.23;33.73
2414803;Vera Cruz;0.42;8.9;0.558;0.494;7.59;12.44
2414902;Viçosa;0.47;9.58;0.552;0.502;8.9;19
2415008;Vila Flor;0.46;13.61;0.561;0.471;5.92;12.72
